station id, station name, valid,povp. dnevna T [°C],oblačnost [%],močan veter,dež,sneg
_1895,LJUBLJANA - BEŽIGRAD,2012-10-22,11.8,60,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-23,10.8,37,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-24,9.2,100,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-25,9,33,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-26,9.7,97,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-27,12.2,100,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-28,1.1,100,ne,da,da
_1895,LJUBLJANA - BEŽIGRAD,2012-10-29,2.1,77,ne,ne,da
_1895,LJUBLJANA - BEŽIGRAD,2012-10-30,2.1,50,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-10-31,4.4,97,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-11-01,6,80,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-11-02,9.3,77,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-11-03,11.4,93,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-11-04,13.1,97,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-11-05,12.2,97,da,da,ne
